Reason for absence,Month of absence,Day of the week,Transportation expense,Distance from Residence to Work,Service time,Age,Work load Average/day ,Hit target,Education,Social drinker,Weight,Height,Body mass index,Absenteeism time in hours,class
18,8,2,235,29,12,48,"205,917",92,1,0,88,163,33,8,1
23,8,2,179,51,18,38,"205,917",92,1,1,89,170,31,2,1
23,8,2,361,52,3,28,"205,917",92,1,1,80,172,27,1,1
24,8,3,289,36,13,33,"205,917",92,1,1,90,172,30,8,1
11,8,5,291,50,12,32,"205,917",92,1,1,65,169,23,4,1
28,8,6,235,29,12,48,"205,917",92,1,0,88,163,33,8,1
23,8,6,260,50,11,36,"205,917",92,1,1,65,168,23,4,1
23,9,3,184,42,7,27,"241,476",92,1,0,58,167,21,2,1
23,9,2,118,10,10,37,"241,476",92,1,0,83,172,28,4,1
23,9,3,179,51,18,38,"241,476",92,1,1,89,170,31,4,1
19,9,3,235,20,13,43,"241,476",92,1,1,106,167,38,8,1
23,9,4,155,12,14,34,"241,476",92,1,1,95,196,25,2,1
23,9,2,118,10,10,37,"241,476",92,1,0,83,172,28,3,1
23,9,3,179,51,18,38,"241,476",92,1,1,89,170,31,3,1
23,9,5,291,31,12,40,"241,476",92,1,1,73,171,25,4,1
22,9,6,260,50,11,36,"241,476",92,1,1,65,168,23,8,1
14,9,2,291,31,12,40,"241,476",92,1,1,73,171,25,32,4
0,9,2,260,50,11,36,"241,476",92,1,1,65,168,23,0,4
0,9,2,225,26,9,28,"241,476",92,1,0,69,169,24,0,4
23,9,3,225,26,9,28,"241,476",92,1,0,69,169,24,2,4
23,9,3,118,10,10,37,"241,476",92,1,0,83,172,28,2,4
0,9,3,289,36,13,33,"241,476",92,1,1,90,172,30,0,4
0,9,3,118,13,18,50,"241,476",92,1,1,98,178,31,0,4
18,9,4,225,26,9,28,"241,476",92,1,0,69,169,24,3,4
23,9,4,179,51,18,38,"241,476",92,1,1,89,170,31,3,4
0,9,4,369,17,12,31,"241,476",92,1,1,70,169,25,0,4
23,9,6,248,25,14,47,"241,476",92,1,0,86,165,32,1,4
23,9,6,179,51,18,38,"241,476",92,1,1,89,170,31,3,4
23,9,6,260,50,11,36,"241,476",92,1,1,65,168,23,4,4
23,10,3,179,51,18,38,"253,465",93,1,1,89,170,31,3,4
23,10,3,118,10,10,37,"253,465",93,1,0,83,172,28,3,4
0,10,4,118,13,18,50,"253,465",93,1,1,98,178,31,0,4
23,10,5,179,26,9,30,"253,465",93,3,0,56,171,19,1,4
23,10,6,179,51,18,38,"253,465",93,1,1,89,170,31,3,4
23,10,6,225,26,9,28,"253,465",93,1,0,69,169,24,3,4
23,10,3,118,10,10,37,"253,465",93,1,0,83,172,28,3,4
23,10,4,225,26,9,28,"253,465",93,1,0,69,169,24,2,4
23,10,4,248,25,14,47,"253,465",93,1,0,86,165,32,2,4
23,10,5,291,31,12,40,"253,465",93,1,1,73,171,25,5,4
23,10,4,179,51,18,38,"253,465",93,1,1,89,170,31,8,4
23,10,4,225,26,9,28,"253,465",93,1,0,69,169,24,3,4
19,10,5,260,50,11,36,"253,465",93,1,1,65,168,23,16,4
14,10,3,291,31,12,40,"253,465",93,1,1,73,171,25,8,4
28,10,3,225,26,9,28,"253,465",93,1,0,69,169,24,2,4
26,10,4,289,36,13,33,"253,465",93,1,1,90,172,30,8,4
23,10,6,361,52,3,28,"253,465",93,1,1,80,172,27,1,4
28,10,6,260,50,11,36,"253,465",93,1,1,65,168,23,3,4
23,11,5,179,51,18,38,"306,345",93,1,1,89,170,31,1,4
23,11,4,225,26,9,28,"306,345",93,1,0,69,169,24,1,4
13,11,5,179,51,18,38,"306,345",93,1,1,89,170,31,8,4
21,11,5,179,22,17,40,"306,345",93,2,0,63,170,22,8,4
23,11,5,291,31,12,40,"306,345",93,1,1,73,171,25,5,4
10,11,2,155,12,14,34,"306,345",93,1,1,95,196,25,32,4
22,11,2,189,29,13,33,"306,345",93,1,0,69,167,25,8,4
14,11,2,291,31,12,40,"306,345",93,1,1,73,171,25,40,4
23,11,4,225,26,9,28,"306,345",93,1,0,69,169,24,1,4
6,11,6,155,12,14,34,"306,345",93,1,1,95,196,25,8,4
23,11,4,225,26,9,28,"306,345",93,1,0,69,169,24,3,4
21,11,4,179,22,17,40,"306,345",93,2,0,63,170,22,8,4
13,11,6,225,26,9,28,"306,345",93,1,0,69,169,24,3,4
28,11,6,260,50,11,36,"306,345",93,1,1,65,168,23,4,4
28,11,2,248,25,14,47,"306,345",93,1,0,86,165,32,1,4
28,11,3,225,26,9,28,"306,345",93,1,0,69,169,24,3,4
7,11,4,289,36,13,33,"306,345",93,1,1,90,172,30,24,4
23,11,5,291,31,12,40,"306,345",93,1,1,73,171,25,3,4
23,12,3,248,25,14,47,"261,306",97,1,0,86,165,32,1,4
19,12,3,118,10,10,37,"261,306",97,1,0,83,172,28,64,4
23,12,4,118,13,18,50,"261,306",97,1,1,98,178,31,2,4
26,12,4,235,11,14,37,"261,306",97,3,0,88,172,29,8,4
23,12,5,225,26,9,28,"261,306",97,1,0,69,169,24,2,4
26,12,6,260,50,11,36,"261,306",97,1,1,65,168,23,8,4
19,12,3,118,10,10,37,"261,306",97,1,0,83,172,28,56,4
22,12,4,361,52,3,28,"261,306",97,1,1,80,172,27,8,4
28,12,5,225,26,9,28,"261,306",97,1,0,69,169,24,3,4
28,12,6,260,50,11,36,"261,306",97,1,1,65,168,23,3,4
23,12,3,225,26,9,28,"261,306",97,1,0,69,169,24,2,4
22,12,4,361,52,3,28,"261,306",97,1,1,80,172,27,8,4
27,12,6,118,10,10,37,"261,306",97,1,0,83,172,28,2,4
19,12,6,246,25,16,41,"261,306",97,1,1,67,170,23,8,2
23,12,6,225,26,9,28,"261,306",97,1,0,69,169,24,2,2
23,1,4,225,26,9,28,"308,593",95,1,0,69,169,24,1,2
19,1,2,118,10,10,37,"308,593",95,1,0,83,172,28,1,2
27,1,3,118,10,10,37,"308,593",95,1,0,83,172,28,1,2
18,1,3,155,12,14,34,"308,593",95,1,1,95,196,25,8,2
27,1,4,225,26,9,28,"308,593",95,1,0,69,169,24,2,2
23,1,5,184,42,7,27,"308,593",95,1,0,58,167,21,2,2
28,1,5,225,26,9,28,"308,593",95,1,0,69,169,24,2,2
27,1,6,225,26,9,28,"308,593",95,1,0,69,169,24,1,2
27,1,2,118,10,10,37,"308,593",95,1,0,83,172,28,2,2
27,1,3,225,26,9,28,"308,593",95,1,0,69,169,24,2,2
27,1,3,118,10,10,37,"308,593",95,1,0,83,172,28,2,2
27,1,4,118,10,10,37,"308,593",95,1,0,83,172,28,2,2
27,1,5,118,10,10,37,"308,593",95,1,0,83,172,28,2,2
27,1,6,118,10,10,37,"308,593",95,1,0,83,172,28,2,2
27,1,2,118,10,10,37,"308,593",95,1,0,83,172,28,2,2
27,1,3,118,10,10,37,"308,593",95,1,0,83,172,28,2,2
18,1,3,179,26,9,30,"308,593",95,3,0,56,171,19,8,2
18,1,3,289,36,13,33,"308,593",95,1,1,90,172,30,8,2
27,1,4,118,10,10,37,"308,593",95,1,0,83,172,28,2,2
23,1,5,184,42,7,27,"308,593",95,1,0,58,167,21,2,2
27,1,5,118,10,10,37,"308,593",95,1,0,83,172,28,2,2
27,1,2,118,10,10,37,"308,593",95,1,0,83,172,28,0,2
23,1,3,225,26,9,28,"308,593",95,1,0,69,169,24,1,2
22,1,5,289,36,13,33,"308,593",95,1,1,90,172,30,3,2
23,2,6,184,42,7,27,"302,585",99,1,0,58,167,21,1,2
1,2,4,246,25,16,41,"302,585",99,1,1,67,170,23,8,2
11,2,4,179,51,18,38,"302,585",99,1,1,89,170,31,8,2
28,2,5,155,12,14,34,"302,585",99,1,1,95,196,25,2,2
23,2,5,189,29,13,33,"302,585",99,1,0,69,167,25,8,2
28,2,6,260,50,11,36,"302,585",99,1,1,65,168,23,2,2
22,2,6,289,36,13,33,"302,585",99,1,1,90,172,30,8,2
11,2,2,388,15,9,50,"302,585",99,1,0,76,178,24,8,2
1,2,3,388,15,9,50,"302,585",99,1,0,76,178,24,8,2
28,2,2,225,26,9,28,"302,585",99,1,0,69,169,24,2,2
23,2,3,225,26,9,28,"302,585",99,1,0,69,169,24,2,2
23,2,3,179,26,9,30,"302,585",99,3,0,56,171,19,1,2
23,2,3,184,42,7,27,"302,585",99,1,0,58,167,21,8,2
25,2,5,225,26,9,28,"302,585",99,1,0,69,169,24,3,2
18,2,2,330,16,4,28,"302,585",99,2,0,84,182,25,8,2
23,2,3,330,16,4,28,"302,585",99,2,0,84,182,25,1,2
23,2,4,225,26,9,28,"302,585",99,1,0,69,169,24,1,2
19,2,5,189,29,13,33,"302,585",99,1,0,69,167,25,8,2
28,3,3,291,50,12,32,"343,253",95,1,1,65,169,23,2,2
19,3,3,260,50,11,36,"343,253",95,1,1,65,168,23,8,2
19,3,3,157,27,6,29,"343,253",95,1,1,75,185,22,3,2
17,3,3,179,22,17,40,"343,253",95,2,0,63,170,22,8,2
22,3,4,291,31,12,40,"343,253",95,1,1,73,171,25,8,2
13,3,4,260,50,11,36,"343,253",95,1,1,65,168,23,8,2
13,3,5,179,26,9,30,"343,253",95,3,0,56,171,19,8,2
14,3,6,248,25,14,47,"343,253",95,1,0,86,165,32,3,2
13,3,6,260,50,11,36,"343,253",95,1,1,65,168,23,40,2
11,3,2,179,22,17,40,"343,253",95,2,0,63,170,22,40,2
1,3,2,155,12,14,34,"343,253",95,1,1,95,196,25,16,2
26,3,2,260,50,11,36,"343,253",95,1,1,65,168,23,16,2
13,3,3,155,12,14,34,"343,253",95,1,1,95,196,25,8,2
6,3,5,289,36,13,33,"343,253",95,1,1,90,172,30,8,2
8,3,5,179,22,17,40,"343,253",95,2,0,63,170,22,8,2
28,3,6,260,50,11,36,"343,253",95,1,1,65,168,23,4,2
23,3,6,225,26,9,28,"343,253",95,1,0,69,169,24,1,2
14,3,2,279,5,14,39,"343,253",95,1,1,68,168,24,8,2
13,3,3,179,51,18,38,"343,253",95,1,1,89,170,31,24,2
23,3,4,225,26,9,28,"343,253",95,1,0,69,169,24,2,2
11,3,2,225,26,9,28,"343,253",95,1,0,69,169,24,8,3
13,3,2,179,26,9,30,"343,253",95,3,0,56,171,19,1,3
11,3,3,225,26,9,28,"343,253",95,1,0,69,169,24,8,3
11,3,4,225,26,9,28,"343,253",95,1,0,69,169,24,16,3
13,3,4,179,51,18,38,"343,253",95,1,1,89,170,31,3,3
14,3,5,279,5,14,39,"343,253",95,1,1,68,168,24,16,3
28,3,6,225,26,9,28,"343,253",95,1,0,69,169,24,2,3
14,3,6,248,25,14,47,"343,253",95,1,0,86,165,32,3,3
28,3,2,225,26,9,28,"343,253",95,1,0,69,169,24,1,3
28,4,4,291,31,12,40,"326,452",96,1,1,73,171,25,1,3
23,4,4,225,26,9,28,"326,452",96,1,0,69,169,24,1,3
28,4,3,155,12,14,34,"326,452",96,1,1,95,196,25,1,3
13,4,4,246,25,16,41,"326,452",96,1,1,67,170,23,24,3
23,4,5,155,12,14,34,"326,452",96,1,1,95,196,25,1,3
28,4,6,225,26,9,28,"326,452",96,1,0,69,169,24,2,3
28,4,6,260,50,11,36,"326,452",96,1,1,65,168,23,4,3
13,4,4,179,51,18,38,"326,452",96,1,1,89,170,31,24,3
23,4,5,118,13,18,50,"326,452",96,1,1,98,178,31,1,3
23,4,6,291,31,12,40,"326,452",96,1,1,73,171,25,3,3
14,4,6,246,25,16,41,"326,452",96,1,1,67,170,23,8,3
28,4,6,291,31,12,40,"326,452",96,1,1,73,171,25,1,3
28,4,6,248,25,14,47,"326,452",96,1,0,86,165,32,8,3
19,4,6,260,50,11,36,"326,452",96,1,1,65,168,23,56,3
19,4,3,289,36,13,33,"326,452",96,1,1,90,172,30,8,3
12,4,4,155,12,14,34,"326,452",96,1,1,95,196,25,24,3
19,4,4,378,49,11,36,"326,452",96,1,0,65,174,21,8,3
13,4,5,289,36,13,33,"326,452",96,1,1,90,172,30,16,3
7,4,6,235,11,14,37,"326,452",96,3,0,88,172,29,3,3
0,4,2,235,29,12,48,"326,452",96,1,0,88,163,33,0,3
13,5,4,289,36,13,33,"378,884",92,1,1,90,172,30,8,3
28,5,5,155,12,14,34,"378,884",92,1,1,95,196,25,2,3
28,5,2,155,12,14,34,"378,884",92,1,1,95,196,25,1,3
18,5,3,179,51,18,38,"378,884",92,1,1,89,170,31,8,3
19,5,3,225,26,9,28,"378,884",92,1,0,69,169,24,8,3
7,5,4,184,42,7,27,"378,884",92,1,0,58,167,21,4,3
28,5,2,155,12,14,34,"378,884",92,1,1,95,196,25,2,3
12,5,3,179,51,18,38,"378,884",92,1,1,89,170,31,1,3
13,5,4,289,36,13,33,"378,884",92,1,1,90,172,30,24,3
0,5,4,279,5,14,39,"378,884",92,1,1,68,168,24,0,3
0,5,4,330,16,4,28,"378,884",92,2,0,84,182,25,0,3
0,5,4,378,49,11,36,"378,884",92,1,0,65,174,21,0,3
0,5,4,388,15,9,50,"378,884",92,1,0,76,178,24,0,3
11,5,3,179,51,18,38,"378,884",92,1,1,89,170,31,1,3
13,5,4,118,13,18,50,"378,884",92,1,1,98,178,31,24,3
22,5,6,361,52,3,28,"378,884",92,1,1,80,172,27,8,3
19,6,2,246,25,16,41,"377,550",94,1,1,67,170,23,8,3
22,6,2,361,52,3,28,"377,550",94,1,1,80,172,27,8,3
10,6,3,246,25,16,41,"377,550",94,1,1,67,170,23,24,3
23,6,5,291,31,12,40,"377,550",94,1,1,73,171,25,4,3
10,6,6,246,25,16,41,"377,550",94,1,1,67,170,23,8,3
11,6,2,179,51,18,38,"377,550",94,1,1,89,170,31,8,3
23,6,2,155,12,14,34,"377,550",94,1,1,95,196,25,4,3
10,6,2,246,25,16,41,"377,550",94,1,1,67,170,23,8,3
13,6,4,118,13,18,50,"377,550",94,1,1,98,178,31,8,3
13,6,6,235,11,14,37,"377,550",94,3,0,88,172,29,16,3
23,6,3,118,13,18,50,"377,550",94,1,1,98,178,31,1,3
13,6,4,118,13,18,50,"377,550",94,1,1,98,178,31,80,3
22,6,5,378,49,11,36,"377,550",94,1,0,65,174,21,8,3
11,6,6,179,51,18,38,"377,550",94,1,1,89,170,31,2,3
28,6,2,289,48,29,49,"377,550",94,1,0,108,172,36,2,1
28,6,5,225,26,9,28,"377,550",94,1,0,69,169,24,2,1
19,7,3,155,12,14,34,"275,312",98,1,1,95,196,25,16,1
1,7,4,118,13,18,50,"275,312",98,1,1,98,178,31,8,1
5,7,6,118,10,10,37,"275,312",98,1,0,83,172,28,8,1
26,7,6,118,10,10,37,"275,312",98,1,0,83,172,28,4,1
26,7,3,330,16,4,28,"275,312",98,2,0,84,182,25,8,1
18,7,5,179,26,9,30,"275,312",98,3,0,56,171,19,8,1
25,7,6,155,12,14,34,"275,312",98,1,1,95,196,25,2,1
1,7,2,330,16,4,28,"275,312",98,2,0,84,182,25,8,1
1,7,3,330,16,4,28,"275,312",98,2,0,84,182,25,8,1
25,7,2,157,27,6,29,"275,312",98,1,1,75,185,22,3,1
22,7,3,361,52,3,28,"275,312",98,1,1,80,172,27,8,1
26,7,4,289,36,13,33,"275,312",98,1,1,90,172,30,8,1
26,7,5,179,51,18,38,"275,312",98,1,1,89,170,31,8,1
19,7,2,289,36,13,33,"275,312",98,1,1,90,172,30,32,1
19,7,5,289,36,13,33,"275,312",98,1,1,90,172,30,8,1
0,7,5,260,50,11,36,"275,312",98,1,1,65,168,23,0,1
19,8,6,289,36,13,33,"265,615",94,1,1,90,172,30,8,1
19,8,6,157,27,6,29,"265,615",94,1,1,75,185,22,3,1
23,8,2,289,36,13,33,"265,615",94,1,1,90,172,30,1,1
18,8,3,228,14,16,58,"265,615",94,1,0,65,172,22,8,1
13,8,5,300,26,13,43,"265,615",94,1,1,77,175,25,1,1
14,8,5,300,26,13,43,"265,615",94,1,1,77,175,25,2,1
28,8,6,260,50,11,36,"265,615",94,1,1,65,168,23,4,1
23,8,3,289,36,13,33,"265,615",94,1,1,90,172,30,4,1
23,8,4,248,25,14,47,"265,615",94,1,0,86,165,32,1,1
11,8,5,268,11,8,33,"265,615",94,2,0,79,178,25,8,1
23,8,5,179,26,9,30,"265,615",94,3,0,56,171,19,1,1
13,8,5,118,13,18,50,"265,615",94,1,1,98,178,31,3,1
25,8,2,248,25,14,47,"265,615",94,1,0,86,165,32,2,1
23,8,3,235,11,14,37,"265,615",94,3,0,88,172,29,1,1
23,8,5,118,13,18,50,"265,615",94,1,1,98,178,31,1,1
19,8,5,235,11,14,37,"265,615",94,3,0,88,172,29,8,1
8,8,3,361,52,3,28,"265,615",94,1,1,80,172,27,8,1
6,8,4,184,42,7,27,"265,615",94,1,0,58,167,21,8,1
11,9,2,179,51,18,38,"294,217",81,1,1,89,170,31,8,1
23,9,6,179,51,18,38,"294,217",81,1,1,89,170,31,3,1
19,9,4,289,36,13,33,"294,217",81,1,1,90,172,30,24,1
0,9,5,235,20,13,43,"294,217",81,1,1,106,167,38,0,1
9,9,2,246,25,16,41,"294,217",81,1,1,67,170,23,16,1
28,9,3,291,31,12,40,"294,217",81,1,1,73,171,25,3,1
0,9,3,231,35,14,39,"294,217",81,1,1,100,170,35,0,1
0,9,3,291,50,12,32,"294,217",81,1,1,65,169,23,0,1
13,9,4,179,51,18,38,"294,217",81,1,1,89,170,31,8,1
9,9,4,246,25,16,41,"294,217",81,1,1,67,170,23,32,1
23,9,5,179,51,18,38,"294,217",81,1,1,89,170,31,1,1
28,9,6,291,31,12,40,"294,217",81,1,1,73,171,25,4,1
28,9,6,260,50,11,36,"294,217",81,1,1,65,168,23,4,1
26,9,4,235,20,13,43,"294,217",81,1,1,106,167,38,8,4
28,9,5,118,13,18,50,"294,217",81,1,1,98,178,31,1,4
0,9,5,235,20,13,43,"294,217",81,1,1,106,167,38,0,4
28,9,6,291,31,12,40,"294,217",81,1,1,73,171,25,3,4
7,9,2,291,31,12,40,"294,217",81,1,1,73,171,25,40,4
13,9,2,179,51,18,38,"294,217",81,1,1,89,170,31,8,4
24,10,2,289,36,13,33,"265,017",88,1,1,90,172,30,8,4
26,10,2,235,11,14,37,"265,017",88,3,0,88,172,29,4,4
26,10,2,289,36,13,33,"265,017",88,1,1,90,172,30,8,4
22,10,6,289,36,13,33,"265,017",88,1,1,90,172,30,8,4
0,10,6,118,13,18,50,"265,017",88,1,1,98,178,31,0,4
0,10,6,248,25,14,47,"265,017",88,1,0,86,165,32,0,4
1,10,2,179,26,9,30,"265,017",88,3,0,56,171,19,8,4
7,10,2,118,10,10,37,"265,017",88,1,0,83,172,28,3,4
22,10,2,369,17,12,31,"265,017",88,1,1,70,169,25,8,4
28,10,4,179,51,18,38,"265,017",88,1,1,89,170,31,1,4
1,10,4,179,26,9,30,"265,017",88,3,0,56,171,19,64,4
0,10,4,235,20,13,43,"265,017",88,1,1,106,167,38,0,4
19,10,5,289,36,13,33,"265,017",88,1,1,90,172,30,16,4
28,10,6,260,50,11,36,"265,017",88,1,1,65,168,23,3,4
0,10,6,235,20,13,43,"265,017",88,1,1,106,167,38,0,4
23,10,2,235,20,13,43,"265,017",88,1,1,106,167,38,2,4
23,10,2,235,20,13,43,"265,017",88,1,1,106,167,38,2,4
28,10,3,118,13,18,50,"265,017",88,1,1,98,178,31,1,4
28,10,3,291,31,12,40,"265,017",88,1,1,73,171,25,4,4
23,10,5,179,26,9,30,"265,017",88,3,0,56,171,19,16,4
28,10,5,118,13,18,50,"265,017",88,1,1,98,178,31,1,4
10,10,2,361,52,3,28,"265,017",88,1,1,80,172,27,8,4
0,10,3,260,50,11,36,"265,017",88,1,1,65,168,23,0,4
0,10,3,291,31,12,40,"265,017",88,1,1,73,171,25,0,4
0,10,3,157,27,6,29,"265,017",88,1,1,75,185,22,0,4
1,10,4,179,26,9,30,"265,017",88,3,0,56,171,19,5,4
7,10,4,179,26,9,30,"265,017",88,3,0,56,171,19,5,4
23,10,5,118,13,18,50,"265,017",88,1,1,98,178,31,1,4
11,11,2,118,10,10,37,"284,031",97,1,0,83,172,28,8,4
23,11,2,248,25,14,47,"284,031",97,1,0,86,165,32,2,4
6,11,3,179,51,18,38,"284,031",97,1,1,89,170,31,8,4
28,11,6,260,50,11,36,"284,031",97,1,1,65,168,23,3,4
23,11,2,291,31,12,40,"284,031",97,1,1,73,171,25,1,4
1,11,2,378,49,11,36,"284,031",97,1,0,65,174,21,8,4
11,11,2,155,12,14,34,"284,031",97,1,1,95,196,25,120,4
26,11,2,235,20,13,43,"284,031",97,1,1,106,167,38,8,4
0,11,3,330,16,4,28,"284,031",97,2,0,84,182,25,0,4
18,11,4,235,11,14,37,"284,031",97,3,0,88,172,29,1,4
11,11,4,118,10,10,37,"284,031",97,1,0,83,172,28,3,4
25,11,5,235,11,14,37,"284,031",97,3,0,88,172,29,2,4
28,11,5,179,51,18,38,"284,031",97,1,1,89,170,31,3,4
13,11,6,246,25,16,41,"284,031",97,1,1,67,170,23,8,4
12,11,6,291,31,12,40,"284,031",97,1,1,73,171,25,4,4
13,11,2,246,25,16,41,"284,031",97,1,1,67,170,23,8,4
28,11,3,179,51,18,38,"284,031",97,1,1,89,170,31,1,4
10,11,4,260,50,11,36,"284,031",97,1,1,65,168,23,8,4
15,11,6,260,50,11,36,"284,031",97,1,1,65,168,23,8,4
0,11,6,378,49,11,36,"284,031",97,1,0,65,174,21,0,4
0,11,3,279,5,14,39,"284,031",97,1,1,68,168,24,0,4
23,11,5,179,51,18,38,"284,031",97,1,1,89,170,31,1,4
12,12,2,225,26,9,28,"236,629",93,1,0,69,169,24,3,4
28,12,2,179,51,18,38,"236,629",93,1,1,89,170,31,2,4
28,12,2,179,51,18,38,"236,629",93,1,1,89,170,31,1,4
23,12,2,235,11,14,37,"236,629",93,3,0,88,172,29,3,4
28,12,3,118,13,18,50,"236,629",93,1,1,98,178,31,1,4
28,12,6,260,50,11,36,"236,629",93,1,1,65,168,23,4,4
4,12,5,246,25,16,41,"236,629",93,1,1,67,170,23,8,4
28,12,5,179,51,18,38,"236,629",93,1,1,89,170,31,1,4
28,12,6,179,51,18,38,"236,629",93,1,1,89,170,31,1,4
23,12,3,179,26,9,30,"236,629",93,3,0,56,171,19,1,4
25,12,3,118,10,10,37,"236,629",93,1,0,83,172,28,8,4
25,12,5,235,11,14,37,"236,629",93,3,0,88,172,29,2,4
28,12,6,179,51,18,38,"236,629",93,1,1,89,170,31,1,4
13,12,3,235,20,13,43,"236,629",93,1,1,106,167,38,8,2
14,12,3,235,11,14,37,"236,629",93,3,0,88,172,29,4,2
26,12,4,260,50,11,36,"236,629",93,1,1,65,168,23,8,2
28,12,2,157,27,6,29,"236,629",93,1,1,75,185,22,2,2
28,12,2,179,51,18,38,"236,629",93,1,1,89,170,31,3,2
19,12,2,289,36,13,33,"236,629",93,1,1,90,172,30,8,2
23,1,4,225,26,9,28,"330,061",100,1,0,69,169,24,5,2
19,1,2,118,10,10,37,"330,061",100,1,0,83,172,28,32,2
23,1,2,155,12,14,34,"330,061",100,1,1,95,196,25,2,2
13,1,3,235,11,14,37,"330,061",100,3,0,88,172,29,1,2
23,1,3,155,12,14,34,"330,061",100,1,1,95,196,25,4,2
26,1,2,289,36,13,33,"330,061",100,1,1,90,172,30,8,2
3,1,4,291,31,12,40,"330,061",100,1,1,73,171,25,8,2
26,1,2,235,20,13,43,"330,061",100,1,1,106,167,38,8,2
26,1,2,118,13,18,50,"330,061",100,1,1,98,178,31,4,2
28,1,4,179,51,18,38,"330,061",100,1,1,89,170,31,1,2
28,1,6,179,51,18,38,"330,061",100,1,1,89,170,31,1,2
28,2,3,118,10,10,37,"251,818",96,1,0,83,172,28,2,2
27,2,4,179,51,18,38,"251,818",96,1,1,89,170,31,3,2
7,2,4,225,26,9,28,"251,818",96,1,0,69,169,24,1,2
22,2,6,289,36,13,33,"251,818",96,1,1,90,172,30,3,2
28,2,6,260,50,11,36,"251,818",96,1,1,65,168,23,3,2
23,2,6,179,51,18,38,"251,818",96,1,1,89,170,31,3,2
27,2,2,179,51,18,38,"251,818",96,1,1,89,170,31,2,2
27,2,4,179,51,18,38,"251,818",96,1,1,89,170,31,3,2
10,2,5,179,51,18,38,"251,818",96,1,1,89,170,31,8,2
26,2,5,246,25,16,41,"251,818",96,1,1,67,170,23,8,2
27,2,6,179,51,18,38,"251,818",96,1,1,89,170,31,3,2
22,2,2,189,29,13,33,"251,818",96,1,0,69,167,25,8,2
27,2,2,179,51,18,38,"251,818",96,1,1,89,170,31,3,2
23,2,3,246,25,16,41,"251,818",96,1,1,67,170,23,2,2
23,2,3,291,31,12,40,"251,818",96,1,1,73,171,25,2,2
11,2,4,157,27,6,29,"251,818",96,1,1,75,185,22,16,2
27,2,4,179,51,18,38,"251,818",96,1,1,89,170,31,3,2
27,2,6,179,51,18,38,"251,818",96,1,1,89,170,31,3,2
10,2,6,246,25,16,41,"251,818",96,1,1,67,170,23,24,2
27,2,4,179,51,18,38,"251,818",96,1,1,89,170,31,3,2
27,2,6,179,51,18,38,"251,818",96,1,1,89,170,31,3,2
18,3,3,118,10,10,37,"244,387",98,1,0,83,172,28,8,2
19,3,4,246,25,16,41,"244,387",98,1,1,67,170,23,16,2
28,3,6,246,25,16,41,"244,387",98,1,1,67,170,23,2,2
28,3,6,260,50,11,36,"244,387",98,1,1,65,168,23,4,2
28,3,2,179,51,18,38,"244,387",98,1,1,89,170,31,2,2
