walls_artifacts_area,speculum_artifacts_area,cervix_specularities_area,os_specularities_area,walls_specularities_area,speculum_specularities_area,specularities_area,area_h_max_diff,rgb_cervix_r_mean,class
0.056098882,0.03200126,0.087179409,0,0.135877952,0.126160921,0.110197368,0.642399125,104.3272031,0
0,0,0.011638845,0,0.024589437,0.287721479,0.098331767,0.257218302,35.877768,1
0,0,0.041172834,0,0.040643902,0.277988499,0.13100938,0,39.74872896,1
0.049856304,0,0.024458752,0.007274218,0.007395053,0.139297138,0.07158295,0.34148486,53.98583963,1
0.041218138,0.002985011,0.00406126,0.050409004,6.31E-05,0.183610178,0.04125747,0.363327385,13.58859483,1
0,0,0.002274945,0,0.103533392,0.486706094,0.216949941,0.089831429,66.53132472,1
0.278228964,0.021049496,0.009564358,0.019783571,0.018430108,0.106550278,0.088646772,0.316474031,28.33761501,1
0,9.00E-05,0.012171803,0,0.014779133,0.153196288,0.076260653,0.239987047,36.627612,1
0,0,0.046202425,0.071191007,0.055264581,0.159923573,0.105811618,0.224526842,85.60301235,1
0.339017353,0.010572577,0.015653556,0.067788242,0.001012526,0.309139909,0.142911809,0.156910051,37.65236171,1
0,0,0.004855261,0.039424825,0,0,0.004855261,0.067692006,88.09502351,1
0,0,0.020873155,0.000451885,0.148284179,0.129176892,0.081682259,0.188462852,35.53059793,1
0,0,0.032821046,0,0,0.248252387,0.127804864,0.267354884,66.89473121,1
0,0,0.010948704,0.030449827,0.017845875,0.383744948,0.108928047,0.189719031,38.41431863,1
0,0.001831538,0.013440343,0,0,0.128813314,0.08794879,0.19571568,33.34366416,1
0.031749474,0.032489415,0.02498131,0,0.09011231,0.143795002,0.10239518,0.332105004,34.76608187,1
0,0,0.008121694,0,0,0,0.008121694,0.18338558,64.34657866,1
0,0,0.016887715,0.01407918,0.00416424,0.147466012,0.143083244,0.274526715,34.14546765,1
0,0,0.048178702,0.00753395,0,0.110107139,0.077423957,0.086771362,48.83983751,1
0.009560899,0,0.013754404,0.015927431,0.003914636,0.300824597,0.074788156,0.09357615,22.05812157,1
0,0,0.002179297,0,0.09400991,0.264975543,0.152625392,0,48.51191881,1
0,0,0.001978852,0,0.007301301,0,0.003186678,0.151055985,24.9398308,1
0.369644337,0,0.002156948,0,6.95E-05,0,0.000910479,0.242628312,13.38505429,0
0.015593767,0.419739873,0.031356739,0,0.003491204,0.032226355,0.021025176,0,76.65859208,0
0.082467033,0.020402465,0.014148057,0,0,0.040322545,0.021053166,0,60.46705057,0
0,0,0.01004403,0.012483171,2.84E-05,0.000127642,0.004616477,0.23891037,53.55736067,1
0.000628524,0,0.005917494,0.012583472,0.000102804,0,0.002209314,0.184401129,65.98090761,0
0,0,0.011782323,0,0.006046047,0.119446977,0.042717721,0.245919254,88.40709041,1
0.292499411,0.00201688,0.004903838,0,0.001620234,0.116836358,0.047193378,0.156828276,74.81257561,1
0.0695851,0.037026573,0.030843479,0,0.000698933,0.065729939,0.040831946,0.472054871,89.85215132,1
0,0,0.019489036,0.156338925,0.001026856,0.353344542,0.083191492,0.154917441,72.03042321,1
0,0.017332052,0.009314941,0,0,0.400235312,0.072366649,0,80.1081399,0
0.35750685,0.000890756,0.013812845,0.009181233,0.000395232,0.067252096,0.040400299,0.392536101,58.33452264,1
0,0,0.001364813,0,0,0.194785232,0.040008449,0.182297893,31.86548498,0
0,0,0.02189526,0,0,0,0.015983175,0.104928747,73.46586199,0
0,0,0.006910614,0,0,0,0.011085056,0.458245803,36.27993553,1
0,0,0.014282337,0.038447257,0.002147047,0.342323452,0.060041756,0.30185736,74.76647203,1
0,0,0.001968432,0,0,0,0.001968432,0,87.55477016,0
0,0,0.011975901,0,0,0.393003517,0.011975901,0.45395768,37.25946562,0
